code,status,data.number,data.name,data.englishName,data.englishNameTranslation,data.numberOfAyahs,data.revelationType
200,OK,1,??????? ????????????,Al-Faatiha,The Opening,7,Meccan
200,OK,6,??????? ???????????,Al-An'aam,The Cattle,165,Meccan
200,OK,7,??????? ???????????,Al-A'raaf,The Heights,206,Meccan
200,OK,10,??????? ???????,Yunus,Jonas,109,Meccan
200,OK,11,??????? ?????,Hud,Hud,123,Meccan
200,OK,12,??????? ???????,Yusuf,Joseph,111,Meccan
200,OK,14,??????? ????????????,Ibrahim,Abraham,52,Meccan
200,OK,15,??????? ????????,Al-Hijr,The Rock,99,Meccan
200,OK,16,??????? ?????????,An-Nahl,The Bee,128,Meccan
200,OK,17,??????? ???????????,Al-Israa,The Night Journey,111,Meccan
200,OK,18,??????? ????????,Al-Kahf,The Cave,110,Meccan
200,OK,19,??????? ????????,Maryam,Mary,98,Meccan
200,OK,20,??????? ??,Taa-Haa,Taa-Haa,135,Meccan
200,OK,21,??????? ????????????,Al-Anbiyaa,The Prophets,112,Meccan
200,OK,23,??????? ?????????????,Al-Muminoon,The Believers,118,Meccan
200,OK,25,??????? ???????????,Al-Furqaan,The Criterion,77,Meccan
200,OK,26,??????? ????????????,Ash-Shu'araa,The Poets,227,Meccan
200,OK,27,??????? ?????????,An-Naml,The Ant,93,Meccan
200,OK,28,??????? ????????,Al-Qasas,The Stories,88,Meccan
200,OK,29,??????? ????????????,Al-Ankaboot,The Spider,69,Meccan
200,OK,30,??????? ????????,Ar-Room,The Romans,60,Meccan
200,OK,31,??????? ?????????,Luqman,Luqman,34,Meccan
200,OK,32,??????? ???????????,As-Sajda,The Prostration,30,Meccan
200,OK,34,??????? ??????,Saba,Sheba,54,Meccan
200,OK,35,??????? ???????,Faatir,The Originator,45,Meccan
200,OK,36,??????? ???,Yaseen,Yaseen,83,Meccan
200,OK,37,??????? ????????????,As-Saaffaat,Those drawn up in Ranks,182,Meccan
200,OK,38,??????? ??,Saad,The letter Saad,88,Meccan
200,OK,39,??????? ?????????,Az-Zumar,The Groups,75,Meccan
200,OK,40,??????? ???????,Ghafir,The Forgiver,85,Meccan
200,OK,41,??????? ?????????,Fussilat,Explained in detail,54,Meccan
200,OK,42,??????? ??????????,Ash-Shura,Consultation,53,Meccan
200,OK,43,??????? ???????????,Az-Zukhruf,Ornaments of gold,89,Meccan
200,OK,44,??????? ??????????,Ad-Dukhaan,The Smoke,59,Meccan
200,OK,45,??????? ???????????,Al-Jaathiya,Crouching,37,Meccan
200,OK,46,??????? ???????????,Al-Ahqaf,The Dunes,35,Meccan
200,OK,50,??????? ??,Qaaf,The letter Qaaf,45,Meccan
200,OK,51,??????? ?????????????,Adh-Dhaariyat,The Winnowing Winds,60,Meccan
200,OK,52,??????? ????????,At-Tur,The Mount,49,Meccan
200,OK,53,??????? ?????????,An-Najm,The Star,62,Meccan
200,OK,54,??????? ????????,Al-Qamar,The Moon,55,Meccan
200,OK,56,??????? ???????????,Al-Waaqia,The Inevitable,96,Meccan
200,OK,67,??????? ????????,Al-Mulk,The Sovereignty,30,Meccan
200,OK,68,??????? ????????,Al-Qalam,The Pen,52,Meccan
200,OK,69,??????? ??????????,Al-Haaqqa,The Reality,52,Meccan
200,OK,70,??????? ???????????,Al-Ma'aarij,The Ascending Stairways,44,Meccan
200,OK,71,??????? ?????,Nooh,Noah,28,Meccan
200,OK,72,??????? ???????,Al-Jinn,The Jinn,28,Meccan
200,OK,73,??????? ????????????,Al-Muzzammil,The Enshrouded One,20,Meccan
200,OK,74,??????? ????????????,Al-Muddaththir,The Cloaked One,56,Meccan
200,OK,75,??????? ???????????,Al-Qiyaama,The Resurrection,40,Meccan
200,OK,77,??????? ?????????????,Al-Mursalaat,The Emissaries,50,Meccan
200,OK,78,??????? ?????????,An-Naba,The Announcement,40,Meccan
200,OK,79,??????? ?????????????,An-Naazi'aat,Those who drag forth,46,Meccan
200,OK,80,??????? ??????,Abasa,He frowned,42,Meccan
200,OK,81,??????? ????????????,At-Takwir,The Overthrowing,29,Meccan
200,OK,82,??????? ???????????,Al-Infitaar,The Cleaving,19,Meccan
200,OK,83,??????? ??????????????,Al-Mutaffifin,Defrauding,36,Meccan
200,OK,84,??????? ???????????,Al-Inshiqaaq,The Splitting Open,25,Meccan
200,OK,85,??????? ?????????,Al-Burooj,The Constellations,22,Meccan
200,OK,86,??????? ??????????,At-Taariq,The Morning Star,17,Meccan
200,OK,87,??????? ??????????,Al-A'laa,The Most High,19,Meccan
200,OK,88,??????? ???????????,Al-Ghaashiya,The Overwhelming,26,Meccan
200,OK,89,??????? ????????,Al-Fajr,The Dawn,30,Meccan
200,OK,90,??????? ????????,Al-Balad,The City,20,Meccan
200,OK,91,??????? ?????????,Ash-Shams,The Sun,15,Meccan
200,OK,92,??????? ?????????,Al-Lail,The Night,21,Meccan
200,OK,93,??????? ?????????,Ad-Dhuhaa,The Morning Hours,11,Meccan
200,OK,94,??????? ?????????,Ash-Sharh,The Consolation,8,Meccan
200,OK,95,??????? ????????,At-Tin,The Fig,8,Meccan
200,OK,96,??????? ????????,Al-Alaq,The Clot,19,Meccan
200,OK,97,??????? ????????,Al-Qadr,"The Power, Fate",5,Meccan
200,OK,100,??????? ????????????,Al-Aadiyaat,The Chargers,11,Meccan
200,OK,101,??????? ???????????,Al-Qaari'a,The Calamity,11,Meccan
200,OK,102,??????? ????????????,At-Takaathur,Competition,8,Meccan
200,OK,103,??????? ????????,Al-Asr,"The Declining Day, Epoch",3,Meccan
200,OK,104,??????? ??????????,Al-Humaza,The Traducer,9,Meccan
200,OK,105,??????? ???????,Al-Fil,The Elephant,5,Meccan
200,OK,106,??????? ????????,Quraish,Quraysh,4,Meccan
200,OK,107,??????? ??????????,Al-Maa'un,Almsgiving,7,Meccan
200,OK,108,??????? ??????????,Al-Kawthar,Abundance,3,Meccan
200,OK,109,??????? ????????????,Al-Kaafiroon,The Disbelievers,6,Meccan
200,OK,111,??????? ????????,Al-Masad,The Palm Fibre,5,Meccan
200,OK,112,??????? ???????????,Al-Ikhlaas,Sincerity,4,Meccan
200,OK,113,??????? ????????,Al-Falaq,The Dawn,5,Meccan
200,OK,114,??????? ????????,An-Naas,Mankind,6,Meccan
200,OK,2,??????? ??????????,Al-Baqara,The Cow,286,Medinan
200,OK,3,??????? ???? ?????????,Aal-i-Imraan,The Family of Imraan,200,Medinan
200,OK,4,??????? ??????????,An-Nisaa,The Women,176,Medinan
200,OK,5,??????? ????????????,Al-Maaida,The Table,120,Medinan
200,OK,8,??????? ??????????,Al-Anfaal,The Spoils of War,75,Medinan
200,OK,9,??????? ???????????,At-Tawba,The Repentance,129,Medinan
200,OK,13,??????? ?????????,Ar-Ra'd,The Thunder,43,Medinan
200,OK,22,??????? ???????,Al-Hajj,The Pilgrimage,78,Medinan
200,OK,24,??????? ????????,An-Noor,The Light,64,Medinan
200,OK,33,??????? ???????????,Al-Ahzaab,The Clans,73,Medinan
